Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
23,84,Low,High,No,7,73,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Near,Male,67
19,64,Low,Medium,No,8,59,Low,Yes,2,Medium,Medium,Public,Negative,4,No,College,Moderate,Female,61
24,89,Medium,High,Yes,7,81,High,Yes,1,High,High,Private,Positive,4,No,College,Near,Male,78
16,58,Low,Low,No,6,52,Low,No,0,Low,Low,Public,Negative,2,No,High School,Far,Female,49
28,92,High,High,Yes,8,88,High,Yes,2,High,High,Private,Positive,5,No,College,Near,Male,86
14,55,Low,Low,No,6,48,Low,No,0,Low,Low,Public,Negative,2,Yes,High School,Far,Female,45
20,72,Medium,Medium,Yes,7,65,Medium,Yes,1,Medium,Medium,Public,Neutral,3,No,College,Moderate,Male,66
22,78,Medium,High,Yes,8,70,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,College,Near,Female,71
18,68,Low,Medium,No,7,60,Low,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Male,60
26,90,High,High,Yes,8,85,High,Yes,2,High,High,Private,Positive,4,No,College,Near,Female,83
17,62,Low,Medium,No,6,56,Low,No,0,Low,Medium,Public,Negative,2,No,High School,Far,Male,54
21,75,Medium,Medium,Yes,7,69,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,69
